symbol,company,industry,exchange,trading_volume_and_chartered_capital
ODE,CTCP Tập đoàn Truyền thông và Giải trí ODE,"Quảng cáo, quan hệ công chúng và dịch vụ liên quan",UPCoM,10000000
OGC,CTCP Tập đoàn Đại Dương,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,300000000
OIL,Tổng Công ty Dầu Việt Nam - CTCP,Bán buôn hàng tiêu dùng,UPCoM,201425936
ONE,CTCP Công nghệ One,Viễn thông,HNX,7960310
ONW,CTCP Dịch vụ Một Thế Giới,Thiết kế hệ thống máy tính và dịch vụ liên quan,UPCoM,2000000
OPC,CTCP Dược phẩm OPC,"Sản xuất hóa chất, dược phẩm",HOSE,64050892
ORS,CTCP Chứng khoán Tiên Phong,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,200000000
PAC,CTCP Pin Ắc quy Miền Nam,"Sản xuất trang thiết bị, dụng cụ điện",HOSE,46471707
PAI,CTCP Công nghệ thông tin Viễn thông và Tự động hóa Dầu Khí,Các dịch vụ thông tin khác,UPCoM,4235290
PAN,CTCP Tập đoàn Pan,Sản xuất thực phẩm,HOSE,216294580
PAP,CTCP Dầu khí Đầu tư Khai thác Cảng Phước An,Hỗ trợ vận tải,UPCoM,200000000
PAS,CTCP Quốc tế Phương Anh,Sản xuất các sản phẩm kim loại cơ bản,UPCoM,28049968
PAT,CTCP Phốt Pho Apatit Việt Nam,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,25000000
PBC,CTCP Dược phẩm Trung Ương 1- Pharbaco,"Sản xuất hóa chất, dược phẩm",UPCoM,113299902
PBP,CTCP Bao bì Dầu khí Việt Nam,Sản xuất các sản phẩm nhựa và cao su,HNX,4799516
PBT,CTCP Nhà và Thương mại Dầu khí,Sản xuất các sản phẩm nhựa và cao su,UPCoM,17522284
PC1,CTCP Tập Đoàn PC1,Xây dựng công nghiệp nặng và dân dụng,HOSE,270433002
PCC,CTCP Tập đoàn Xây lắp 1 - Petrolimex,Xây dựng công nghiệp nặng và dân dụng,UPCoM,11500000
PCE,CTCP Phân bón và Hóa chất Dầu khí Miền Trung,"Sản xuất hóa chất, dược phẩm",HNX,10000000
PCF,CTCP Cà phê PETEC,Bán buôn hàng tiêu dùng,UPCoM,3000000
PCG,CTCP Đầu tư Phát triển Gas Đô thị,Phân phối khí đốt thiên nhiên,HNX,18870000
PCH,CTCP Nhựa Picomat,Sản xuất các sản phẩm nhựa và cao su,HNX,21999990
PCM,CTCP Vật liệu Xây dựng Bưu điện,"Sản xuất các sản phẩm điện tử, vi tính",UPCoM,4000000
PCN,CTCP Hóa phẩm Dầu khí DMC - Miền Bắc,Bán buôn hàng tiêu dùng,UPCoM,3924550
PCT,CTCP Vận tải Khí và Hoá chất Việt Nam,Bán buôn hàng tiêu dùng,HNX,50035493
PDB,CTCP Tập đoàn Đầu tư Din Capital,Sản xuất sản phẩm khoáng chất phi kim,HNX,8909981
PDC,CTCP Du lịch Dầu khí Phương Đông,Khách sạn và phòng ở,UPCoM,15000000
PDN,CTCP Cảng Đồng Nai,Hỗ trợ vận tải,HOSE,37043908
PDR,CTCP Phát triển Bất động sản Phát Đạt,Phát triển bất động sản,HOSE,671646219
PDV,CTCP Vận Tải Và Tiếp Vận Phương Đông Việt,Hỗ trợ vận tải,UPCoM,37087331
PEC,CTCP Cơ khí Điện lực,Sản xuất sản phẩm kim loại tổng hợp,UPCoM,3115409
PEG,Tổng Công ty Thương mại Kỹ thuật và Đầu tư - CTCP,Bán buôn hàng tiêu dùng,UPCoM,231898919
PEN,CTCP Xây lắp III Petrolimex,Xây dựng công nghiệp nặng và dân dụng,HNX,5000000
PEQ,CTCP Thiết bị Xăng dầu Petrolimex,Cửa hàng đồ nội thất và đồ dùng gia đình,UPCoM,4965514
PET,Tổng Công ty cổ phần Dịch vụ Tổng hợp Dầu khí,Bán buôn hàng lâu bền,HOSE,107334831
PFL,CTCP Dầu khí Đông Đô,Xây dựng công nghiệp nặng và dân dụng,UPCoM,50000000
PGB,Ngân hàng TMCP Thịnh vượng và Phát triển,Trung gian tín dụng và các hoạt động liên quan,UPCoM,300000000
PGC,Tổng Công ty Gas Petrolimex - CTCP,Phân phối khí đốt thiên nhiên,HOSE,60342638
PGD,CTCP Phân phối khí thấp áp Dầu khí Việt Nam,Phân phối khí đốt thiên nhiên,HOSE,98998266
PGI,Tổng Công ty cổ phần Bảo hiểm Petrolimex,Bảo hiểm và các hoạt động liên quan,HOSE,110896796
PGN,CTCP Phụ Gia Nhựa,"Sản xuất hóa chất, dược phẩm",HNX,8450940
PGS,CTCP Kinh doanh Khí Miền Nam,Phân phối khí đốt thiên nhiên,HNX,50000000
PGT,CTCP PGT Holdings,Vận tải trung chuyển và vận tải hành khách bằng đường bộ,HNX,9241801
PGV,Tổng Công ty Phát điện 3 - CTCP,"Phát, truyền tải và phân phối điện năng",HOSE,1123468046
PHC,CTCP Xây dựng Phục Hưng Holdings,Xây dựng công nghiệp nặng và dân dụng,HOSE,50602094
PHH,CTCP Hồng Hà Việt Nam,"Xây dựng nhà cửa, cao ốc",UPCoM,20000000
PHN,CTCP Pin Hà Nội,"Sản xuất trang thiết bị, dụng cụ điện",HNX,7253911
PHP,CTCP Cảng Hải Phòng,Hỗ trợ vận tải,UPCoM,326960000
PHR,CTCP Cao su Phước Hòa,Sản xuất hóa chất cơ bản,HOSE,135499198
PHS,CTCP Chứng khoán Phú Hưng,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",UPCoM,150009819
PIA,CTCP Tin học Viễn thông Petrolimex,Các dịch vụ thông tin khác,HNX,3900000
PIC,CTCP Đầu tư Điện lực 3,"Phát, truyền tải và phân phối điện năng",HNX,33339891
PID,CTCP Trang Trí Nội Thất Dầu khí,Dịch vụ thiết kế chuyên biệt,UPCoM,4000000
PIS,Tổng Công ty Pisico Bình Định - CTCP,Sản xuất các sản phẩm gỗ,UPCoM,27500000
PIT,CTCP Xuất nhập khẩu Petrolimex,Bán buôn hàng tiêu dùng,HOSE,15199345
PIV,CTCP PIV,"Kinh doanh vật liệu xây dựng, trang thiết bị làm vườn",UPCoM,17324942
PJC,CTCP Thương mại và Vận tải Petrolimex Hà Nội,Vận tải đường bộ,HNX,7326928
PJS,CTCP Cấp nước Phú Hòa Tân,"Nước, chất thải và các hệ thống khác",UPCoM,9000000
PJT,CTCP Vận tải Xăng dầu đường Thủy Petrolimex,Vận tải đường thủy,HOSE,23040717
PLA,CTCP Đầu tư và Dịch vụ Hạ tầng Xăng dầu,Bất động sản,UPCoM,10000000
PLC,Tổng Công ty Hóa dầu Petrolimex - CTCP,Sản xuất xăng dầu và than đá,HNX,80798839
PLE,CTCP Tư vấn Xây dựng Petrolimex,"Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",UPCoM,1215000
PLO,CTCP Kho Vận Petec,Bán buôn hàng tiêu dùng,UPCoM,7192550
PLP,CTCP Sản xuất và Công nghệ Nhựa Pha Lê,"Sản xuất hóa chất, dược phẩm",HOSE,70000000
PLX,Tập đoàn Xăng Dầu Việt Nam,Bán buôn hàng tiêu dùng,HOSE,1293878081
PMB,CTCP Phân bón và Hóa chất Dầu khí Miền Bắc,"Sản xuất hóa chất, dược phẩm",HNX,12000000
PMC,CTCP Dược phẩm Dược liệu Pharmedic,"Sản xuất hóa chất, dược phẩm",HNX,9332573
PMG,CTCP Đầu tư và Sản xuất Petro Miền Trung,Bán buôn hàng tiêu dùng,HOSE,46336278
PMJ,CTCP Vật tư Bưu Điện,Bán buôn hàng tiêu dùng,UPCoM,1800000
PMP,CTCP Bao bì đạm Phú Mỹ,Sản xuất các sản phẩm nhựa và cao su,HNX,4200000
PMS,CTCP Cơ khí Xăng dầu,Sản xuất sản phẩm kim loại tổng hợp,HNX,7227662
PMT,CTCP Viễn thông TELVINA Việt Nam,Viễn thông,UPCoM,5000000
PMW,CTCP Cấp nước Phú Mỹ,"Nước, chất thải và các hệ thống khác",UPCoM,49999832
PNC,CTCP Văn hóa Phương Nam,Bán lẻ hàng hóa khác,HOSE,11040241
PND,CTCP Xăng dầu Dầu khí Nam Định,Bán buôn hàng tiêu dùng,UPCoM,6666666
PNG,CTCP Thương mại Phú Nhuận,Cửa hàng đồ nội thất và đồ dùng gia đình,UPCoM,9000000
PNJ,CTCP Vàng bạc Đá quý Phú Nhuận,Cửa hàng quần áo và phụ kiện,HOSE,328169188
PNP,CTCP Tân Cảng - Phú Hữu,Hỗ trợ vận tải,UPCoM,16100000
PNT,CTCP Kỹ thuật Xây dựng Phú Nhuận,Phát triển bất động sản,UPCoM,9282802
POB,CTCP Xăng dầu Dầu khí Thái Bình,Bán buôn hàng tiêu dùng,UPCoM,10900000
POM,CTCP Thép Pomina,Sản xuất các sản phẩm kim loại cơ bản,HOSE,279676336
POS,"CTCP Dịch vụ Lắp đặt, Vận hành và Bảo dưỡng Công trình Dầu khí Biển PTSC",Các hoạt động hỗ trợ Khai khoáng,UPCoM,40000000
POT,CTCP Thiết bị Bưu điện,"Sản xuất các sản phẩm điện tử, vi tính",HNX,19430006
POV,CTCP Xăng dầu Dầu khí Vũng Áng,Bán buôn hàng tiêu dùng,UPCoM,12499612
POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,"Phát, truyền tải và phân phối điện năng",HOSE,2341871600
PPC,CTCP Nhiệt điện Phả Lại,"Phát, truyền tải và phân phối điện năng",HOSE,326235000
PPE,CTCP Tư vấn đầu tư PP Enterprise,"Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",HNX,2000000
PPH,Tổng Công ty cổ phần Phong Phú,"Sản xuất sợi, vải",UPCoM,74670891
PPI,CTCP Đầu tư và Phát triển Dự án Hạ tầng Thái Bình Dương,Phát triển bất động sản,UPCoM,48290629
PPP,CTCP Dược phẩm Phong Phú,"Sản xuất hóa chất, dược phẩm",HNX,8799991
PPS,CTCP Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Xây dựng công nghiệp nặng và dân dụng,HNX,15000000
PPT,CTCP Petro Times,Bán buôn hàng tiêu dùng,HNX,15750000
PPY,CTCP Xăng dầu Dầu khí Phú Yên,Bán buôn hàng tiêu dùng,HNX,9343974
PQN,CTCP Dịch vụ Dầu khí Quảng Ngãi PTSC,Xây dựng công nghiệp nặng và dân dụng,UPCoM,30000000
PRC,CTCP Logistics Portserco,Vận tải đường bộ,HNX,1200000
PRE,Tổng Công ty cổ phần Tái bảo hiểm Hà Nội,Bảo hiểm và các hoạt động liên quan,HNX,104400000
PRO,CTCP Procimex Việt Nam,Sản xuất thực phẩm,UPCoM,3000000
PRT,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP,Sản xuất khác,UPCoM,300000000
PSB,CTCP Đầu tư Dầu khí Sao Mai - Bến Đình,Các hoạt động hỗ trợ Khai khoáng,UPCoM,50000000
PSC,CTCP Vận tải và Dịch vụ Petrolimex Sài Gòn,Bán buôn hàng tiêu dùng,HNX,7200000
PSD,CTCP Dịch vụ Phân phối Tổng hợp Dầu khí,Bán buôn hàng lâu bền,HNX,41462409
PSE,CTCP Phân Bón và Hóa Chất Dầu khí Đông Nam Bộ,Bán buôn hàng tiêu dùng,HNX,12500000
PSG,CTCP Đầu Tư và Xây lắp Dầu khí Sài Gòn,Bất động sản,UPCoM,35000000
PSH,CTCP Thương mại Đầu tư Dầu khí Nam Sông Hậu,Bán buôn hàng tiêu dùng,HOSE,126196780
PSI,CTCP Chứng khoán Dầu khí,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HNX,59841300
PSL,CTCP Chăn nuôi Phú Sơn,Chăn nuôi,UPCoM,11812500
PSN,CTCP Dịch Vụ Kỹ Thuật PTSC Thanh Hóa,Hỗ trợ vận tải,UPCoM,40000000
PSP,CTCP Cảng Dịch vụ Dầu khí Đình Vũ,Hỗ trợ vận tải,UPCoM,40000000
PSW,CTCP Phân bón và Hóa chất Dầu khí Tây Nam Bộ,"Sản xuất hóa chất, dược phẩm",HNX,17000000
PTB,CTCP Phú Tài,Sản xuất các sản phẩm gỗ,HOSE,66938403
PTC,CTCP Đầu Tư Icapital,Nhà thầu chuyên môn,HOSE,32307324
PTD,CTCP Thiết kế Xây dựng Thương mại Phúc Thịnh,"Xây dựng nhà cửa, cao ốc",HNX,3200000
PTE,CTCP Xi măng Phú Thọ,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,12500000
PTG,CTCP May Xuất khẩu Phan Thiết,Sản xuất các sản phẩm may mặc,UPCoM,4864385
PTH,CTCP Vận tải và Dịch vụ Petrolimex Hà Tây,Cửa hàng đồ nội thất và đồ dùng gia đình,UPCoM,3503164
PTI,Tổng Công ty cổ phần Bảo hiểm Bưu điện,Bảo hiểm và các hoạt động liên quan,HNX,80395709
PTL,CTCP Victory Capital,Bất động sản,HOSE,100000000
PTN,CTCP Phát triển nhà Khánh Hòa,Phát triển bất động sản,UPCoM,5801924
PTO,CTCP Dịch vụ - Xây dựng Công trình Bưu Điện,Xây dựng công nghiệp nặng và dân dụng,UPCoM,1200000
PTP,CTCP Dịch vụ Viễn thông và In Bưu điện,Viễn thông,UPCoM,6800000
PTS,CTCP Vận tải và Dịch vụ Petrolimex Hải Phòng,Vận tải đường thủy,HNX,5568000
PTT,CTCP Vận tải Dầu khí Đông Dương,Vận tải đường bộ,UPCoM,10000000
PTV,CTCP Thương mại Dầu khí,Bán buôn hàng tiêu dùng,UPCoM,20000000
PTX,CTCP Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh,Bán buôn hàng tiêu dùng,UPCoM,6432453
PV2,CTCP Đầu tư PV2,Bất động sản,HNX,37350000
PVA,CTCP Tổng Công ty Xây lắp Dầu khí Nghệ An,"Xây dựng nhà cửa, cao ốc",UPCoM,21846000
PVB,CTCP Bọc ống Dầu khí Việt Nam,Các hoạt động hỗ trợ Khai khoáng,HNX,21599998
PVC,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,Các hoạt động hỗ trợ Khai khoáng,HNX,50000000
PVD,Tổng Công ty cổ phần Khoan và Dịch vụ khoan Dầu khí,Các hoạt động hỗ trợ Khai khoáng,HOSE,556296006
PVE,Tổng Công ty Tư vấn thiết kế Dầu khí - CTCP,"Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",UPCoM,25000000
PVG,CTCP Kinh doanh LPG Việt Nam,Phân phối khí đốt thiên nhiên,HNX,36500000
PVH,CTCP Xây lắp Dầu khí Thanh Hóa,Xây dựng công nghiệp nặng và dân dụng,UPCoM,21000000
PVI,CTCP PVI,Bảo hiểm và các hoạt động liên quan,HNX,234241867
PVL,CTCP Đầu tư Nhà Đất Việt,Bất động sản,UPCoM,50000000
PVM,CTCP Máy - Thiết bị Dầu khí,"Sản xuất thiết bị, máy móc",UPCoM,38638600
PVO,CTCP Dầu nhờn PV Oil,Bán buôn hàng tiêu dùng,UPCoM,8900000
PVP,CTCP Vận tải Dầu khí Thái Bình Dương,Hỗ trợ vận tải,HOSE,94275028
PVR,CTCP Đầu tư PVR Hà Nội,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",UPCoM,53100913
PVS,Tổng Công ty cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Các hoạt động hỗ trợ Khai khoáng,HNX,477966290
PVT,Tổng Công ty cổ phần Vận tải Dầu khí,Vận tải đường thủy,HOSE,323651246
PVV,CTCP Vinaconex 39,Phát triển bất động sản,UPCoM,30000000
PVX,Tổng Công ty cổ phần Xây lắp Dầu khí Việt Nam,Xây dựng công nghiệp nặng và dân dụng,UPCoM,400000000
PVY,CTCP Chế tạo Giàn khoan Dầu khí,Xây dựng công nghiệp nặng và dân dụng,UPCoM,59489787
PWA,CTCP Bất động sản Dầu khí,Bất động sản,UPCoM,10000000
PWS,CTCP Cấp thoát nước Phú Yên,"Nước, chất thải và các hệ thống khác",UPCoM,38363579
PX1,CTCP Xi măng Sông Lam 2,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,20000000
PXA,CTCP Đầu tư và Thương mại Dầu khí Nghệ An,Bất động sản,UPCoM,15000000
PXC,CTCP Phát triển Đô thị Dầu khí,Xây dựng công nghiệp nặng và dân dụng,UPCoM,28068900
PXI,CTCP Xây dựng Công nghiệp và Dân dụng Dầu khí,Phát triển bất động sản,UPCoM,30000000
PXL,CTCP Đầu tư Khu Công nghiệp Dầu khí Long Sơn,Bất động sản,UPCoM,82722212
PXM,CTCP Xây lắp Dầu khí Miền Trung,Bán buôn hàng lâu bền,UPCoM,15000000
PXS,CTCP Kết cấu Kim loại và Lắp máy Dầu khí,Xây dựng công nghiệp nặng và dân dụng,UPCoM,60000000
PXT,CTCP Xây lắp Đường ống Bể chứa Dầu khí,Xây dựng công nghiệp nặng và dân dụng,UPCoM,20000000
QBS,CTCP Xuất nhập khẩu Quảng Bình,Bán buôn hàng tiêu dùng,HOSE,69329928
QCC,CTCP Đầu tư Xây dựng và Phát triển Hạ tầng Viễn thông,"Xây dựng nhà cửa, cao ốc",UPCoM,1500000
QCG,CTCP Quốc Cường Gia Lai,Phát triển bất động sản,HOSE,275129310
QHD,CTCP Que hàn điện Việt Đức,"Sản xuất thiết bị, máy móc",HNX,5524716
QHW,CTCP Nước khoáng Quảng Ninh,Sản xuất đồ uống và thuốc lá,UPCoM,8000000
QNC,CTCP Xi măng và Xây dựng Quảng Ninh,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,60000000
QNS,CTCP Đường Quảng Ngãi,Sản xuất thực phẩm,UPCoM,356939955
QNT,Trung tâm Tư vấn xây dựng thị xã Điện Bàn,"Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",UPCoM,3222000
QNU,CTCP Môi trường Đô thị Quảng Nam,"Nước, chất thải và các hệ thống khác",UPCoM,6800000
QNW,CTCP Cấp thoát nước và Xây dựng Quảng Ngãi,"Nước, chất thải và các hệ thống khác",UPCoM,20000000
QPH,CTCP Thủy điện Quế Phong,"Phát, truyền tải và phân phối điện năng",UPCoM,18583100
QSP,CTCP Tân Cảng Quy Nhơn,Hỗ trợ vận tải,UPCoM,10792275
QST,CTCP Sách và Thiết bị Trường học Quảng Ninh,Công nghiệp xuất bản - Ngoại trừ internet,HNX,3240000
QTC,CTCP Công trình Giao thông Vận tải Quảng Nam,Xây dựng công nghiệp nặng và dân dụng,HNX,2700000
QTP,CTCP Nhiệt điện Quảng Ninh,"Phát, truyền tải và phân phối điện năng",UPCoM,450000000
RAL,CTCP Bóng đèn Phích nước Rạng Đông,"Sản xuất trang thiết bị, dụng cụ điện",HOSE,23547419
RAT,CTCP Vận tải và Thương mại Đường sắt,Vận tải đường sắt,UPCoM,5921841
RBC,CTCP Công nghiệp và Xuất nhập khẩu Cao su,Sản xuất các sản phẩm nhựa và cao su,UPCoM,10030308
RCC,CTCP Tổng Công ty Công trình Đường sắt,Hỗ trợ vận tải,UPCoM,32064749
RCD,CTCP Xây dựng - Địa ốc Cao su,"Xây dựng nhà cửa, cao ốc",UPCoM,5300062
RCL,CTCP Địa ốc Chợ Lớn,Phát triển bất động sản,HNX,13858714
RDP,CTCP Rạng Đông Holding,Sản xuất các sản phẩm nhựa và cao su,HOSE,49069803
REE,CTCP Cơ Điện Lạnh,Nhà thầu chuyên môn,HOSE,409714260
RGC,CTCP Đầu tư PV - Inconess,"Nghệ thuật trình diễn, thể thao và các ngành liên quan",UPCoM,89123600
RIC,CTCP Quốc tế Hoàng Gia,Công nghiệp giải trí và vui chơi có thưởng,UPCoM,28708169
RTB,CTCP Cao su Tân Biên,"Sản xuất hóa chất, dược phẩm",UPCoM,87945000
S12,CTCP Sông Đà 12,Xây dựng công nghiệp nặng và dân dụng,UPCoM,5000000
S27,CTCP Sông Đà 27,Sản xuất khác,UPCoM,1572833
S4A,CTCP Thủy điện Sê San 4A,"Phát, truyền tải và phân phối điện năng",HOSE,42200000
S55,CTCP Sông Đà 505,Xây dựng công nghiệp nặng và dân dụng,HNX,10000000
S72,CTCP Sông Đà 7.02,"Phát, truyền tải và phân phối điện năng",UPCoM,12000000
S74,CTCP Sông Đà 7.04,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,6480000
S96,CTCP Sông Đà 9.06,"Xây dựng nhà cửa, cao ốc",UPCoM,11155532
S99,CTCP SCI,Xây dựng công nghiệp nặng và dân dụng,HNX,93997369
SAB,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Sài Gòn,Sản xuất đồ uống và thuốc lá,HOSE,1282562372
SAC,CTCP Xếp dỡ và Dịch vụ Cảng Sài Gòn,Hỗ trợ vận tải,UPCoM,4050000
SAF,CTCP Lương thực Thực phẩm Safoco,Sản xuất thực phẩm,HNX,12046590
SAL,CTCP Trục vớt Cứu hộ Việt Nam,Hỗ trợ vận tải,UPCoM,8310000
SAM,CTCP SAM HOLDINGS,"Sản xuất trang thiết bị, dụng cụ điện",HOSE,379960971
SAP,CTCP In Sách giáo khoa Thành phố Hồ Chí Minh,In ấn và các hoạt động hỗ trợ,UPCoM,1286984
SAS,CTCP Dịch vụ Hàng không Sân bay Tân Sơn Nhất,Của hàng hàng hóa tổng hợp,UPCoM,133481310
SAV,CTCP Hợp tác Kinh tế và Xuất nhập khẩu Savimex,Sản xuất trang thiết bị nội thất và sản phẩm liên quan,HOSE,21956364
SB1,CTCP Bia Sài Gòn - Nghệ Tĩnh,Sản xuất đồ uống và thuốc lá,UPCoM,10500000
SBA,CTCP Sông Ba,"Phát, truyền tải và phân phối điện năng",HOSE,60488261
SBD,CTCP Công nghệ Sao Bắc Đẩu,Các dịch vụ thông tin khác,UPCoM,13514680
SBH,CTCP Thủy điện Sông Ba Hạ,"Phát, truyền tải và phân phối điện năng",UPCoM,124225000
SBL,CTCP Bia Sài Gòn - Bạc Liêu,Sản xuất thực phẩm,UPCoM,12012000
SBM,CTCP Đầu tư Phát triển Bắc Minh,"Phát, truyền tải và phân phối điện năng",UPCoM,45044953
SBR,CTCP Cao su Sông Bé,"Sản xuất hóa chất, dược phẩm",UPCoM,81396192
SBS,CTCP Chứng khoán SBS,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",UPCoM,146607600
SBT,CTCP Thành Thành Công - Biên Hòa,Sản xuất thực phẩm,HOSE,740500993
SBV,CTCP Siam Brothers Việt Nam,Sản xuất khác,HOSE,27366476
SC5,CTCP Xây dựng Số 5,"Xây dựng nhà cửa, cao ốc",HOSE,14984550
SCC,CTCP Thương mại Đầu tư SHB,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,4884900
SCD,CTCP Nước giải khát Chương Dương,Sản xuất đồ uống và thuốc lá,HOSE,8500000
SCG,CTCP Tập Đoàn Xây Dựng SCG,"Xây dựng nhà cửa, cao ốc",HNX,85000000
SCI,CTCP SCI E&C,"Xây dựng nhà cửa, cao ốc",HNX,25409847
SCJ,CTCP Xi măng Sài Sơn,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,57839000
SCL,CTCP Sông Đà Cao Cường,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,17278888
SCO,CTCP Công nghiệp Thủy sản,Bán buôn hàng tiêu dùng,UPCoM,4200000
SCR,CTCP Địa ốc Sài Gòn Thương Tín,Phát triển bất động sản,HOSE,395661775
SCS,CTCP Dịch vụ Hàng hóa Sài Gòn,Hỗ trợ vận tải,HOSE,94379182
SCY,CTCP Đóng tàu Sông Cấm,Sản xuất phương tiện vận tải,UPCoM,61968926
SD1,CTCP Sông Đà 1,"Xây dựng nhà cửa, cao ốc",UPCoM,5000000
SD2,CTCP Sông Đà 2,Xây dựng công nghiệp nặng và dân dụng,UPCoM,14423536
SD3,CTCP Sông Đà 3,"Phát, truyền tải và phân phối điện năng",UPCoM,15999356
SD4,CTCP Sông Đà 4,Xây dựng công nghiệp nặng và dân dụng,UPCoM,10300000
SD5,CTCP Sông Đà 5,Xây dựng công nghiệp nặng và dân dụng,HNX,25999848
SD6,CTCP Sông Đà 6,Xây dựng công nghiệp nặng và dân dụng,HNX,34771611
SD7,CTCP Sông Đà 7,Xây dựng công nghiệp nặng và dân dụng,UPCoM,10600000
SD8,CTCP Sông Đà 8,Xây dựng công nghiệp nặng và dân dụng,UPCoM,2800000
SD9,CTCP Sông Đà 9,Xây dựng công nghiệp nặng và dân dụng,HNX,34234000
SDA,CTCP Simco Sông Đà,Bán buôn hàng lâu bền,HNX,26206158
SDB,CTCP Sông Đà 207,"Xây dựng nhà cửa, cao ốc",UPCoM,11000000
SDC,CTCP Tư vấn Sông Đà,Dịch vụ thiết kế chuyên biệt,HNX,2609710
SDD,CTCP Đầu tư và Xây lắp Sông Đà,Xây dựng công nghiệp nặng và dân dụng,UPCoM,16007685
SDG,CTCP Sadico Cần Thơ,Sản xuất các sản phẩm nhựa và cao su,HNX,7139997
SDJ,CTCP Sông Đà 25,"Xây dựng nhà cửa, cao ốc",UPCoM,4343700
SDK,CTCP Cơ khí Luyện kim,"Sản xuất thiết bị, máy móc",UPCoM,2600000
SDN,CTCP Sơn Đồng Nai,"Sản xuất hóa chất, dược phẩm",HNX,3036436
SDP,CTCP SDP,Bán buôn hàng lâu bền,UPCoM,11114472
SDT,CTCP Sông Đà 10,Xây dựng công nghiệp nặng và dân dụng,HNX,42732311
SDU,CTCP Đầu tư Xây dựng và Phát triển Đô thị Sông Đà,Bất động sản,HNX,20000000
SDV,CTCP Dịch vụ Sonadezi,Dịch vụ quản lý và tái chế chất thải,UPCoM,5000000
SDX,CTCP Phòng cháy Chữa cháy và Đầu tư Xây dựng Sông Đà,"Xây dựng nhà cửa, cao ốc",UPCoM,2250000
SDY,CTCP Xi măng Sông Đà Yaly,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,4500000
SEA,Tổng Công ty Thủy sản Việt Nam - CTCP,Chăn nuôi,UPCoM,125000000
SEB,CTCP Đầu tư và Phát triển Điện Miền Trung,"Phát, truyền tải và phân phối điện năng",HNX,31999969
SED,CTCP Đầu tư và Phát triển Giáo dục Phương Nam,Công nghiệp xuất bản - Ngoại trừ internet,HNX,10000000
SEP,CTCP Tổng Công ty Thương mại Quảng Trị,Trồng trọt,UPCoM,8400000
SFC,CTCP Nhiên liệu Sài Gòn,Trạm xăng,HOSE,11291459
SFG,CTCP Phân Bón Miền Nam,"Sản xuất hóa chất, dược phẩm",HOSE,47897333
SFI,CTCP Đại lý Vận tải SAFI,Hỗ trợ vận tải,HOSE,23816046
SFN,CTCP Dệt lưới Sài Gòn,Sản xuất các sản phẩm nhựa và cao su,HNX,3000000
SGB,Ngân hàng TMCP Sài Gòn Công Thương,Trung gian tín dụng và các hoạt động liên quan,UPCoM,308000000
SGC,CTCP Xuất nhập khẩu Sa Giang,Sản xuất thực phẩm,HNX,7147580
SGD,CTCP Sách Giáo dục tại Thành phố Hồ Chí Minh,Công nghiệp xuất bản - Ngoại trừ internet,HNX,4137000
SGH,CTCP Khách sạn Sài Gòn,Khách sạn và phòng ở,HNX,12364100
SGI,CTCP Đầu tư Phát triển Sài Gòn 3 Group,Sản xuất các sản phẩm may mặc,UPCoM,75464700
SGN,CTCP Phục vụ Mặt đất Sài Gòn,Hỗ trợ vận tải,HOSE,33581691
SGP,CTCP Cảng Sài Gòn,Hỗ trợ vận tải,UPCoM,216294961
SGR,CTCP Tổng CTCP Địa ốc Sài Gòn,Bất động sản,HOSE,60000000
SGS,CTCP Vận tải biển Sài Gòn,Vận tải đường thủy,UPCoM,14420000
SGT,CTCP Công nghệ Viễn Thông Sài Gòn,Viễn thông,HOSE,148003518
SHA,CTCP Sơn Hà Sài Gòn,Sản xuất trang thiết bị nội thất và sản phẩm liên quan,HOSE,33446675
